article_id,keywords tuple
35,"[ngộ độc nhôm, phèn chua, hôi nách, bệnh viện Bạch Mai, nhiễm độc nhôm, xử lý nước uống, chất phụ gia thực phẩm, dược phẩm, đồ dùng nhà bếp]"
36,"[ô nhiễm, công nghệ cao, lợn, chăn nuôi, môi trường, Thanh Hóa, Agri-Vina, UBND H.Lang Chánh, Sở TN-MT]"
37,"[Bình Thuận, đường ngàn tỉ, mỏ titan, không chắc chắn khi nào hoàn thành, dự án đường ven biển ĐT 719B, Phan Thiết - Kê Gà, khai thác, UBND tỉnh Bình Thuận, Công ty TNHH Tân Quang Cường]"
38,"[chỉ huy, điều khiển giao thông, Bộ Công an, quy định mới, CSGT, phân cấp, thiết bị thông minh, xử lý vi phạm]"
39,"[tham ô tài sản, Sơn La, khởi tố, Lường Văn Khoa, công an]"
40,"[quốc lộ 16, sụt lún, tình huống khẩn cấp, thiên tai, giao thông ách tắc, khắc phục hậu quả, sửa chữa công trình đường bộ]"
41,"[Bình Thuận, chức vụ, Chánh thanh tra, Trần Thanh Toàn, công tác cán bộ, UBND tỉnh]"
42,"[Sắp xếp hành chính, Đà Nẵng, P.Thạch Thang, Yếu tố đặc thù, Lịch sử, Văn hóa, An ninh quốc phòng]"
43,"[cháy_kho_gỗ, Quy_Nhơn, Bình_Dịnh, điều_tra]"
44,"[gia-lai, nghi-vong, phan-hoi, tu-van-xu-ly]"
45,"[chuyển đổi số, văn bản điện tử, lãnh đạo TP.HCM, cải cách hành chính]"
46,"[Lừa đảo, chiếm đoạt tài sản, sim rác, mua bán tôm, tiền đặt cọc, Facebook]"
47,"[xe tải, cẩu cán người, tai nạn giao thông, tử vong, cây xăng, quốc lộ 1]"
48,"[tội phạm, chiếm đoạt tài sản, lạm dụng tín nhiệm, vụ án hình sự, ngân hàng, vay tiền, hợp đồng thế chấp, trách nhiệm pháp lý, khởi tố vụ án]"
49,"[lừa đảo, chuyển tiền ngân hàng, mất tiền tiết kiệm, nạn nhân, tội phạm mạng, FBI, tổn thất tiềm ẩn, người lớn tuổi, cảnh giác, biện pháp bảo vệ, tổ chức tài chính, xác thực chính chủ tài khoản]"
50,"[động đất, Quảng Nam, ứng phó, khắc phục hậu quả, kiểm tra, cứu hộ, cứu nạn, sơ tán, sửa chữa nhà, hỗ trợ thiệt hại, an toàn công trình]"
51,"[xe máy, đèo Prenn, cứu hộ, tai nạn, bệnh viện]"
52,"[Việt_Nam, Ấn_Độ, Thủ_Tướng, Quan_Hệ]"
53,"[đảng bộ, đại hội, nhân sự, văn kiện, lãnh đạo, chỉ đạo, kiểm tra, giám sát, kỷ luật, đoàn thể, phối hợp, giáo dục, chức năng, nhiệm vụ, quyền hạn, mối quan hệ, rà soát, mục tiêu, chỉ tiêu, nhiệm vụ, Nghị quyết Đại hội XIII, Nghị quyết Đại hội XIII Đảng bộ Khối, nghị quyết của T.Ư, Bộ Chính trị, Ban Bí thư, Chỉ thị số 35 của Bộ Chính trị]"
54,"[Chính phủ Ấn Độ, chuyến thăm cấp nhà nước, Thủ tướng Phạm Minh Chính, Bộ trưởng Ngoại giao S.Jaishankar, quan hệ Việt Nam-Ấn Độ, Tổng Bí thư Nguyễn Phú Trọng, Chủ tịch Hồ Chí Minh, hợp tác kinh tế-thương mại-invest, chuyển đổi xanh, chuyển đổi số, đổi mới sáng tạo]"
55,"[giấy_khai_sinh, trẻ_em_có_hoàn_cảnh_đặc_biệt, mã_số_định_danh, đăng_ký_thường_trú, căn_cước_công dân]"
56,"[Nhận hối lộ, cựu chủ tịch quận lãnh 9 năm tù, Nhận hối lộ, TAND TPĐà Nẵng, Đưa hối lộ, Nhận hối lộ, Cựu Chủ tịch UBND Q.Cẩm Lệ, Hồ Văn Khoa, Võ Thiên Sinh, Võ Thành Quý, Trần Phước Mỹ, Nguyễn Đặng Nhất Duy, Phan Văn Tiến, Hoàng Ngọc Tiến]"
57,"[dầu_khí, công_nghệ, Ấn Độ, Việt_Nam, đầu_tư, hợp_tác]"
58,"[51 triệu đồng, chuyển khoản nhầm, công an xã, người chuyển nhầm, tài khoản ngân hàng, trả lại tiền, chủ nhân số tiền, nhận lại tiền]"
59,"[sạt lở, cống ngang, đèo Prenn, xử lý khẩn trương, giao thông]"
60,"[duyệt_nước, tử_vong, song_sinh, Bạc_Liêu, Hòa_Bình]"
61,"[Tiền_lương, Chính_sách, Cải_cách, Khu_vực_công, Nghị_quyết_27_NQ/TW, Bộ Nội vụ]"
62,"[ma_tuý, buôn_bán_ma_túy, súng, lựu_đạn, tội_tàng_trữ_trái_phép_chất_ma_túy]"
63,"[tranh chấp đất đai, hợp đồng chuyển nhượng quyền sử dụng đất, công ty Tuệ Minh, Công ty Nijia Việt Nam, Công ty Ngọc Thiên An, tòa án Hưng Yên, phiên tòa phúc thẩm, tư cách tố tụng, doanh nhân nước ngoài]"
64,"[quảng trị, khởi tố, bốc đầu xe, gây rối trật tự công cộng, thanh thiếu niên]"
65,"[lương hưu, tỷ lệ hưởng lương hưu, lao động nam, lao động nữ, Quỹ BHXH, Bộ LĐ-TB-XH, luật BHXH, điều kiện đóng BHXH tối thiểu, tuổi nghỉ hưu, quỹ BHXH]"
66,"[móc_túi, trộm_cắp, nhóm_dàn_cảnh, công_an_TPHCM, TP.HCM]"
67,"[Việt Nam, Ấn Độ, Chính sách hướng Đông, Hợp tác kinh tế, Đầu tư nước ngoài, Doanh nghiệp]"
68,"[long_an, khởi_tố, lật_dổ_chính_quyền, tổ_chức_khủng_bộ]"
69,"[sát_lở, đường_giao_thông, hồ_Tuyền_Lâm, Lâm_Dồng, khắc_phục]"
70,"[truy_nã, đa_cấp, giám đốc, công_ty]"
71,"[Bắc Ninh, Vương Quốc Tuấn, Chủ tịch UBND tỉnh, Lê Xuân Lợi, Phó chủ tịch UBND tỉnh, Nguyễn Hương Giang]"
72,"[cải_cách_tư_pháp, bảo_hộ_cục_bộ, Chủ_tịch_nước_Tô_Lâm, cải_cách_tư_pháp_2022, Hội_ngị_TƯ_6_khóa_XIII]"
73,"[trái_phí, TAND_TP.HCM, vụ_án, Trương_Mỹ_Lan, lừa đảo]"
74,"[Sát hại con dâu, cha chồng bị tạm giữ hình sự, vụ án mạng ở Sóc Trăng, giết người, sát hại con dâu, cha chồng sát hại con dâu, vụ án mạng ở Sóc Trăng, công an bắt giữ nghi phạm]"
75,"[Bà Nguyễn Hương Giang, Chủ tịch HĐND tỉnh Bắc Ninh, Phó bí thư thường trực Tỉnh ủy, UBND tỉnh Bắc Ninh, Ban Bí thư, Văn phòng T.Ư Đảng, Ban Thường vụ Tỉnh ủy, Kỳ họp thứ 19, Nghị quyết miễn nhiệm, Nhiệm kỳ 2021 - 2026]"
76,"[rác thải, ô nhiễm môi trường, doanh nghiệp, xử lý rác thải, Hải Phòng, bãi rác, xã Kiến Thiết, Công ty Thành Vinh, UBND H.Tiên Lãng, Chủ tịch UBND TP.Hải Phòng Nguyễn Văn Tùng]"
77,"[đắk lắk, buôn ma thuột, sáp nhập, phường]"
78,"[Mưa lũ, Thiệt hại, Cứu hộ, Công an, Điện Biên, Sơn La, Tìm kiếm, Bị lũ cuốn, Sạt lở, Lũ tràn]"
79,"[tội phạm, lừa đảo, chiếm đoạt tài sản, đất đai, Tây Ninh]"
80,"[dư luận xã hội, công tác điều tra, nhiệm vụ chính trị, đổi mới phương thức, khoa học chính xác khách quan]"
81,"[mưa lũ, thiệt hại, Bộ NN-PTNT, chỉ đạo, ứng phó, sạt lở đất]"
82,"[Đầu tư, Dược phẩm, Ấn Độ, Việt Nam, Khu công nghiệp]"
83,"[sân bay Chu Lai, tập đoàn Adani, Thủ tướng Phạm Minh Chính, Ấn Độ, đầu tư]"
84,"[Tax evasion, Phú Yên, Công an tỉnh Phú Yên, doanh nghiệp mỹ phẩm, trốn thuế, kê khai thuế]"
85,"[tù, tội, cưỡng đoạt tài sản, Công ty CP kinh doanh F88, F88, TAND TP.HCM, xét xử sơ thẩm, mức án, Nguyễn Văn Ngọc, Nguyễn Lê Nghĩa Thông, Từ Hải Nguyên, Ngô Ngọc Nghĩa, Trần Quốc Lâm, Nguyễn Hồng Nguyên, Trần Ngọc Thảo]"
86,"[bị_bắt, đánh_bạc, cựu_phó_chủ_tịch, Hồ_Dại_Dũng, Phú_Thọ]"
87,"[xây dựng không phép, phạt hành chính, khách sạn, vi phạm hành chính, cưỡng chế, UBND H.Xuyên Mộc, đất nông nghiệp, đất phi nông nghiệp, công trình vi phạm, quyết định xử phạt, biện pháp khắc phục hậu quả, tình trạng ban đầu của đất]"
88,"[cầu_rạch_miễu_2, dây_văng_trụ_tháp, cầu_chính, dự án_kết_cấu]"
89,"[Tài xế tự làm bị thương, đốt đồ trên ô tô, va chạm giao thông, vụ tai nạn, Công an H.Thanh Trì, Hà Nội]"
90,"[tàu hỏa, ô tô tải, tử vong, trách nhiệm, khắc phục hậu quả, rào chắn, đường sắt, tai nạn giao thông, Đồng Nai, Biên Hòa]"
91,"[đấu giá, Nguyễn Thị Loan, Vimedimex, tòa án, tội phạm]"
92,"[Nam công nhân bị sát hại, cướp xe, keyword: sát hại, cướp xe, nam công nhân, vụ án mạng]"
93,"[Vĩnh Phúc, bãi nhiệm, miễn nhiệm, Trần Duy Đông, Nguyễn Văn Khước, Vũ Chí Giang]"
94,"[xây dựng, TP.HCM, vi phạm, công trình, giảm, kỷ lục, quản lý, trật tự, đô thị]"
95,"[lương_hưu, BHXH, ngân_hàng, tài_khoản, chi_trả]"
96,"[Nguyễn Hoàng Giang, Thứ trưởng Bộ KH-CN, Quảng Ngãi, Phó bí thư Tỉnh ủy, Chủ tịch UBND tỉnh]"
97,"[người nước ngoài, trôi dạt, bãi triều, Thái Bình, Nga, hộ chiếu, nhập cảnh, Việt Nam, điện Biên, du lịch]"
98,"[cưỡng đoạt tài sản, TAND TP.HCM, xét xử sơ thẩm, công ty F88, thu hồi nợ quá hạn]"
99,"[điều động, bổ nhiệm, lãnh đạo, Công an tỉnh Bình Thuận, cán bộ]"
100,"[mưa lũ, Hà Nội, Chương Mỹ, Quốc Oai, Công an Hà Nội, tiếp tế lương thực, dân nơi rốn lũ, sơ tán khẩn cấp, di dời tài sản, nhu yếu phẩm, an ninh trật tự, bảo vệ tài sản]"
101,"[Trần Duy Đông, Chủ tịch UBND, tỉnh Vĩnh Phúc, bầu cử, nhiệm kỳ 2021 - 2026, Phó bí thư Tỉnh ủy]"
102,"[giá đất, môi giới bất động sản, sở hữu nhà chung cư, đăng ký tài khoản giao dịch thuế điện tử, thủ tục đăng ký xe trực tuyến, chứng chỉ hành nghề môi giới bất động sản, thời hạn sử dụng nhà chung cư, xét thăng hạng viên chức hành chính, văn thư, di dời khẩn cấp nhà chung cư]"
103,"[sạt lở, thiên tai, Đà Nẵng, xây dựng, công trình, ứng phó, bùn trôi, đất đá, nguy cơ, an toàn, UBND, xã Hòa Phú, H.Hòa Vang, thống kê, người dân, hộ gia đình, khu vực đồi, đường sá, đất canh tác]"
104,"[du khách Nhật Bản, tiền mặt, Công an Q.Thanh Khê, vịnh Đà Nẵng, giấy tờ quan trọng, hộ chiếu, túi xách rơi, tài sản, Lễ hội pháo hoa quốc tế Đà Nẵng, cầu Sông Hàn, thẻ visa, Miyu Kakuta, trung tá Nguyễn Trường Sơn]"
105,"[đa_nẵng, giảm_phường, hỗ_trợ_cán_bộ, chính_sách_lao động]"
106,"[BHXH, doanh nghiệp, nợ đọng, trốn đóng, TP.HCM, lao động, bảo hiểm xã hội, Công an, khởi tố, vi phạm pháp luật]"
107,"[EU, Việt Nam, quan hệ đối tác, Tô Lâm, Josep Borrell]"
108,"[Thủ tướng Phạm Minh Chính, Ấn Độ, chuyến thăm, quan hệ hữu nghị truyền thống, Đối tác chiến lược toàn diện]"
109,"[Tiếng mừa, giông, lũ quét, ngập úng, sạt lở đất, lốc, sét, gió giật mạnh, nhiệt độ thấp nhất, nhiệt độ cao nhất]"
110,"[Thi hành pháp luật, Xây dựng thể chế, Chính phủ, Thủ tướng Phạm Minh Chính, Pháp luật]"
111,"[mưa lũ, thiệt hại, Lạng Sơn, Điện Biên, Bắc Kạn, Thái Nguyên, sạt lở, ngập úng, người chết, tài sản, thiên tai]"
112,"[Sâm Việt Nam, Sâm Lai Châu, Sâm dỏm, Sâm nhập lậu, Đại lý, HTX, Kinh doanh bất hợp pháp, Thuế quan, Chất lượng sản phẩm, Giá cả không rõ ràng, Mua bán sâm trái phép]"
113,"[tội phạm mạng, lừa đảo, tống tiền, cảnh giác, công nghệ cao, hình ảnh cắt ghép, danh dự, công việc, cuộc sống gia đình, nạn nhân, cơ quan công an, báo cáo, ngăn chặn]"
114,"[Tai nạn lao động, tử vong, tìm kiếm cứu nạn, điều tra nguyên nhân, khắc phục hậu quả]"
115,"[hối lộ, đăng kiểm, nhận tiền hối lộ, sai phạm, đại án, xét xử, Viện KSND TP.HCM, luật sư, Trung tâm đăng kiểm, giám đốc trung tâm, Cục Đăng kiểm VN, chỉ tiêu, áp lực, nguồn thu nhập, kinh phí tiếp khách ngoại giao]"
116,"[Việt Nam, Ấn Độ, Thủ tướng Phạm Minh Chính, Chuyến thăm cấp nhà nước]"
117,"[biệt_thự_ma, Kon_Tum, Măng_Den, tháo_dỡ, vi phạm xây dựng]"
118,"[Qualcomm, 5G, điện thoại di động, Snapdragon, nền tảng di động mới]"
119,"[khen_thưởng, thi_đua, công_tác, Hội đồng_thi_đua_khen_thưởng, Bộ_Nội_vụ, Chủ_tịch_nước_Tô_Lâm]"
120,"[Nguyễn Hương Giang, Chủ tịch, Bắc Ninh, HĐND, Tỉnh ủy, Bí thư, Phó Bí thư, UBND, Giám đốc, Dân vận, Nghị quyết, Miễn nhiệm, Ban Thường vụ, Tỉnh ủy, Kỳ họp, Đại biểu, Cử tri]"
121,"[Kim Ye-ji, Olympic Paris, Elon Musk, VĐV Hàn Quốc, xạ thủ, tỷ phú, bắn súng, giải vô địch thế giới, Liên đoàn bắn súng quốc tế, Baku, Azerbaijan, trung tâm bắn súng Chateauroux, Pháp]"
122,"[máy_lạnh, biến_đổi_khí_hậu, nhiệt_độ, quán_cà_phê, văn_phòng]"
123,"[Trà hoa cúc, Vitamin C, Lão hóa, Sức khỏe, Tâm trạng, Da, Đường ruột, Miễn dịch, Giải độc cơ thể]"
124,"[Trung Quốc, nhiệt độ, tháng 7, kỷ lục, biến đổi khí hậu, El Nino, mưa lũ, lở đất, cứu hộ]"
125,"[Olympic Paris, Luke Greenbank, bơi lội, vi phạm quy tắc, bị loại, VĐV Anh, Hubert Kos, nội dung 200 m bơi ngửa nam, quy định mới, luật lệ ít khi được nhắc đến]"
126,"[Hiền Hồ, người thứ 3, cuộc sống hiện tại, âm nhạc, showbiz, quán bar]"
127,"[dầu_thô, giá_dầu, OPEC, Venezuela]"
128,"[giá trần, doanh nghiệp, Bộ Công Thương, VCCI, kinh doanh xăng dầu, quản lý giá bán, chi phí thành phần, cơ quan nhà nước, cạnh tranh, Luật Cạnh tranh, thương nhân phân phối, mua bán xăng dầu, thị trường bán buôn]"
129,"[xuất khẩu xăng, Nga, lệnh cấm xuất khẩu, Thứ trưởng Bộ Năng lượng Nga Pavel Sorokin, dầu thô, Trung Quốc, Ấn Độ, Rystad Energy A/S, Viktor Kurilov, Kpler, Viktor Katona]"
130,"[dầu, giá, tăng, thế giới, Mỹ, Iran, Trung Đông, chiến tranh, nguồn cung, tồn kho, đồng đô la]"
131,"[vàng, giá, tăng, đồng, thị, trạnh, kinh tế, tiền tệ, Trung Đông]"
132,"[dầu_thô, giá_dầu, Trung_Dông, PetroTimes]"
133,"[Eximbank, nợ xấu, lãi trước thuế, tài sản, nhân sự cấp cao, tỷ lệ nợ xấu/dư nợ]"
134,"[VPBank, kiểm soát chi phí vốn, tăng trưởng tín dụng, lợi nhuận trước thuế, ngân hàng mẹ, huy động vốn, lãi suất, biên lãi thuần, hệ sinh thái, thu nhập hoạt động, rủi ro, an toàn hoạt động, FE Credit, tái cấu trúc, tài chính tiêu dùng, FDI, kinh tế tăng trưởng]"
135,"[vàng, kinh tế, đầu tư, lạm phát, lãi suất, nợ công, thị trường tài chính]"
136,"[giá trần, thương nhân, doanh nghiệp, Bộ Công Thương, cạnh tranh, thị trường]"
137,"[dầu_thô, giá_dầu, OPEC, Venezuela, Trung_Quốc]"
138,"[Giá_vàng, thị_trường, vàng_thế_giới, lãi_số, dự_kiến]"
139,"[dầu_thô, giá_dầu, tồn_kho, xuất khẩu]"
140,"[FPT Retail, doanh thu, Long Châu, nhà thuốc, bán niên, kinh doanh]"
141,"[hydro, California, Mỹ, tài trợ, năng lượng sạch]"
142,"[Henry Hub, đường ống khí đốt tự nhiên, trung tâm phân phối, Erath, bang Louisiana, Mỹ, EnLink Midstream Partners, LP, Sàn giao dịch hàng hóa New York (NYMEX), giá khí đốt tự nhiên, cung cầu, dầu thô]"
143,"[Dầu mỏ, nhiên liệu sinh học, kinh doanh, lợi nhuận]"
144,"[Fanpage, Công an, tỉnh Đồng Nai, thông tin, an ninh trật tự]"
145,"[đất đỏ, người có công, chăm sóc, thương binh, liệt sĩ]"
146,"[Tai nạn lao động, An toàn lao động, Xưởng gỗ, Bình Dương]"
147,"[sản xuất thực phẩm, ngành công nghiệp trọng điểm, xuất khẩu tăng mạnh, tính bền vững, sức mua giảm, giá nguyên liệu đầu vào tăng, kích cầu tiêu dùng, chuỗi cung ứng, sản phẩm hữu cơ, yếu tố xanh, vốn ưu tiên, quỹ hỗ trợ bảo lãnh]"
