news_id,keywords tuple
67,"['bước ngoặt', 'khuyến mãi', 'đô thị', 'trường', 'hệ thống', 'đường cao tốc', 'phát triển']"
68,"['AI', 'suy luận','lý luận']"
69,"['ATM nước sạch', 'biên cương', 'Đồn biên phòng Xuân Đài', 'bình nước']"
70,"['trợ lí ảo', 'tóm tắt', 'văn bản']"
71,"['kit test Covid-19', 'Công ty Việt Á', 'Học viện Quân y', 'Phan Quốc Việt', 'Trịnh Thanh Hùng', 'Hồ Anh Sơn']"
72,"['Việt Á', 'Bộ không']"
73,"['phúc thẩm Việt Á', 'kit test', 'cựu', 'phòng chống dịch bệnh Covid', 'đấu thầu', 'hậu quả']"
74,"[''Cục Thi hành án dân sự', 'Chi ủy Cục Thi hành án dân sự', 'UBKT Tỉnh ủy Thừa Thiên - Huế']"
75,"['AI', 'AI 365', 'Báo Người Lao Động', 'trí tuệ nhân tạo', 'ứng dụng trí tuệ nhân tạo']"
76,"['xét về phong độ hiệu quả', 'Tây Ban Nha, 'ứng viên số 1', 'vô địch']"
77,"['động lực', 'phân cấp', 'xử phạt', 'giáo dục', 'đạo đức']"
78,"['Thủ tướng Chính phủ', 'Phạm Minh Chính', 'chủ trì', 'phiên họp lần thứ']"
79,"['đường cao tốc ngoại miệt', 'bán ròng', 'cổ phiếu', 'mưu sát']"
80,"['sạch biên cương', 'đồn hỗ trợ', 'mua nước ngọt', 'dân nghèo', 'khu phố', 'giếng sinh hoạt', 'bà con']"
81,"['đơn vị', 'thửa đất', 'giáp ranh', 'diện tích 599']"
82,"['công nghệ tuyển dụng', 'phỏng vấn', 'ứng viên']"
83,"['kit test', 'Covid-19', 'bộ kit chẩn đoán', 'Công ty Việt Á', 'Học viện Quân y']"
84,"['vụ án kit test Việt Á', 'bị cáo Trịnh Thanh Hùng', 'Phan Quốc Việt', 'Công ty Việt Á', 'Hồ Anh']"
85,"['phúc thẩm', 'viện kiểm sát quân sự T.Ư', 'Bộ Y tế','đấu thầu', 'kit test Covid-19']"
